date,hour,minute,KRSP,UTSP,MPSG,USCG,UTFG
19,7,0,0,0,0,0,2
19,7,10,0,0,0,0,13
19,7,20,0,0,0,0,18
19,7,30,0,0,0,0,19
19,7,40,3,0,0,0,24
19,7,50,5,0,0,0,23
19,8,0,9,0,0,0,25
19,8,10,10,0,0,0,33
19,8,20,11,0,0,0,34
19,8,30,11,0,0,0,30
19,8,40,11,0,0,0,32
19,8,50,9,0,0,0,32
19,9,0,7,0,0,0,30
19,9,10,5,0,0,6,30
19,9,20,4,0,0,8,31
19,9,30,4,0,0,12,28
19,9,40,4,0,0,13,29
19,9,50,5,0,0,13,25
19,10,0,5,1,0,13,20
19,10,10,6,1,0,13,26
19,10,20,6,1,0,15,31
19,10,30,7,1,0,14,36
19,10,40,7,1,0,17,42
19,10,50,4,1,0,14,36
19,11,0,7,2,0,13,41
19,11,10,6,2,4,13,39
19,11,20,6,2,6,12,36
19,11,30,7,2,8,13,37
19,11,40,8,2,11,15,38
19,11,50,7,2,11,13,49
19,12,0,8,2,15,12,50
19,12,10,10,2,18,17,59
19,12,20,11,2,16,15,62
19,12,30,14,2,20,20,58
19,12,40,14,2,23,21,62
19,12,50,11,2,20,16,58
19,13,0,10,2,20,17,57
19,13,10,10,2,16,13,55
19,13,20,7,2,13,9,48
19,13,30,4,2,9,8,42
19,13,40,3,2,6,5,38
19,13,50,1,2,10,4,37
19,14,0,2,2,11,2,43
19,14,10,3,2,13,6,49
19,14,20,3,2,17,10,53
19,14,30,5,2,14,13,53
19,14,40,9,2,12,14,57
19,14,50,13,2,14,15,58
19,15,0,15,2,14,15,56
19,15,10,22,2,16,15,61
19,15,20,26,2,17,15,64
19,15,30,24,2,14,17,61
19,15,40,33,3,13,17,66
19,15,50,36,3,12,19,68
19,16,0,38,3,14,22,67
19,16,10,58,3,15,26,74
19,16,20,67,3,16,30,85
19,16,30,71,3,16,26,83
19,16,40,60,3,20,23,79
19,16,50,66,3,19,22,78
19,17,0,72,3,24,20,74
19,17,10,73,3,28,19,76
19,17,20,64,3,24,13,78
19,17,30,61,3,25,13,78
19,17,40,66,3,24,13,76
19,17,50,62,3,21,10,76
19,18,0,67,3,23,12,82
19,18,10,67,3,22,16,85
19,18,20,72,3,25,14,89
19,18,30,70,3,27,13,90
19,18,40,80,3,25,14,87
19,18,50,80,3,25,14,88
19,19,0,89,3,24,19,93
19,19,10,83,3,20,19,99
19,19,20,86,3,16,18,98
19,19,30,82,3,13,20,93
19,19,40,79,3,11,20,92
19,19,50,83,3,9,19,86
19,20,0,84,3,7,21,90
19,20,10,81,3,2,21,84
19,20,20,82,3,2,19,86
19,20,30,80,3,2,15,88
19,20,40,73,3,2,11,90
19,20,50,68,3,2,10,105
19,21,0,55,3,2,2,104
19,21,10,39,3,2,2,113
19,21,20,17,3,2,2,114
19,21,30,17,3,2,2,107
19,21,40,17,3,2,2,102
19,21,50,17,3,2,2,91
19,22,0,17,3,2,2,74
20,7,0,0,0,0,0,0
20,7,5,0,0,0,0,7
20,7,10,0,0,0,0,9
20,7,15,0,0,0,0,11
20,7,20,0,0,0,0,11
20,7,25,0,0,0,0,12
20,7,30,0,0,0,0,14
20,7,35,4,0,0,0,17
20,7,40,5,0,0,0,18
20,7,45,5,0,0,0,19
20,7,50,7,0,0,0,22
20,7,55,7,0,0,0,24
20,8,0,8,0,0,0,22
20,8,5,8,0,0,0,25
20,8,10,8,0,0,0,27
20,8,15,8,0,0,0,27
20,8,20,8,0,0,0,27
20,8,25,9,0,0,0,28
20,8,30,11,0,0,0,28
20,8,35,11,0,0,0,27
20,8,40,11,0,0,0,28
20,8,45,10,0,0,0,29
20,8,50,9,0,0,0,26
20,8,55,6,0,0,0,25
20,9,0,6,0,0,0,24
20,9,5,6,0,0,0,25
20,9,10,7,0,0,3,24
20,9,15,8,0,0,4,25
20,9,20,8,0,0,6,23
20,9,25,7,0,0,8,23
20,9,30,6,0,0,8,21
20,9,35,6,0,0,8,24
20,9,40,5,0,0,10,26
20,9,45,4,0,0,10,22
20,9,50,4,0,0,10,21
20,9,55,4,0,0,10,21
20,10,0,5,0,0,12,19
20,10,5,4,0,0,9,20
20,10,10,9,0,0,9,21
20,10,15,9,0,0,9,29
20,10,20,11,0,0,9,32
20,10,25,11,0,0,9,33
20,10,30,11,0,0,10,36
20,10,35,12,0,0,7,38
20,10,40,14,0,0,8,37
20,10,45,16,0,0,8,38
20,10,50,16,0,0,6,36
20,10,55,18,0,0,7,38
20,11,0,19,0,0,7,42
20,11,5,20,0,0,6,41
20,11,10,21,0,0,5,45
20,11,15,22,0,4,6,43
20,11,20,23,0,5,6,45
20,11,25,24,0,5,8,47
20,11,30,16,0,5,9,45
20,11,35,16,0,7,10,45
20,11,40,15,0,7,8,46
20,11,45,13,0,11,7,45
20,11,50,15,0,12,7,47
20,11,55,15,0,12,6,44
20,12,0,11,0,12,7,45
20,12,5,11,0,10,8,48
20,12,10,14,0,12,8,48
20,12,15,12,0,14,6,47
20,12,20,14,0,14,7,48
20,12,25,12,1,12,6,47
20,12,30,12,1,13,6,40
20,12,35,12,1,14,6,41
20,12,40,18,1,14,6,39
20,12,45,19,1,14,7,34
20,12,50,19,1,14,8,37
20,12,55,20,1,14,11,37
20,13,0,18,1,15,12,38
20,13,5,18,1,16,14,41
20,13,10,18,1,13,14,40
20,13,15,17,1,12,13,40
20,13,20,13,1,17,13,38
20,13,25,15,1,18,14,40
20,13,30,11,1,18,13,37
20,13,35,8,1,15,13,34
20,13,40,9,1,15,13,40
20,13,45,8,1,13,13,40
20,13,50,7,1,14,11,46
20,13,55,6,1,14,12,45
20,14,0,5,1,15,12,43
20,14,5,6,1,14,13,41
20,14,10,14,1,14,13,40
20,14,15,17,1,14,13,42
20,14,20,17,1,14,12,42
20,14,25,20,1,15,12,42
20,14,30,20,1,19,14,48
20,14,35,19,1,17,15,47
20,14,40,18,1,16,15,50
20,14,45,20,1,18,15,48
20,14,50,20,1,17,15,50
20,14,55,21,1,17,15,53
20,15,0,19,1,18,14,51
20,15,5,20,1,19,13,50
20,15,10,21,1,18,14,53
20,15,15,23,1,20,14,56
20,15,20,21,1,23,15,58
20,15,25,20,1,22,15,63
20,15,30,19,1,23,12,63
20,15,35,21,1,21,16,66
20,15,40,23,1,21,15,63
20,15,45,19,1,22,15,62
20,15,50,22,1,17,16,63
20,15,55,25,1,21,13,68
20,16,0,27,1,22,17,68
20,16,5,27,1,22,17,75
20,16,10,30,1,20,21,77
20,16,15,27,1,20,24,80
20,16,20,27,1,22,25,75
20,16,25,30,1,22,25,78
20,16,30,34,1,22,28,75
20,16,35,35,1,26,29,77
20,16,40,33,1,27,28,74
20,16,45,37,1,30,26,78
20,16,50,42,1,31,22,80
20,16,55,44,1,33,21,78
20,17,0,51,1,38,19,77
20,17,5,56,1,38,19,76
20,17,10,62,1,38,20,82
20,17,15,64,1,37,22,84
20,17,20,63,1,36,21,83
20,17,25,64,1,36,24,86
20,17,30,61,1,36,23,87
20,17,35,62,1,36,22,85
20,17,40,61,1,34,20,82
20,17,45,57,1,35,21,81
20,17,50,58,1,31,22,89
20,17,55,62,2,29,22,88
20,18,0,67,2,29,21,93
20,18,5,70,2,28,21,93
20,18,10,78,2,29,23,88
20,18,15,75,2,32,25,84
20,18,20,75,2,30,24,82
20,18,25,76,2,29,23,79
20,18,30,78,2,30,23,81
20,18,35,75,2,30,24,82
20,18,40,73,2,31,24,87
20,18,45,75,2,29,21,90
20,18,50,77,3,30,22,85
20,18,55,75,3,27,19,88
20,19,0,81,3,24,20,85
20,19,5,78,3,25,21,88
20,19,10,77,3,23,19,87
20,19,15,72,3,23,16,88
20,19,20,68,3,20,16,88
20,19,25,67,3,20,21,83
20,19,30,71,3,18,20,87
20,19,35,66,3,17,22,84
20,19,40,62,3,16,20,80
20,19,45,61,2,17,16,80
20,19,50,59,2,13,16,78
20,19,55,57,2,9,16,80
20,20,0,60,2,7,15,75
20,20,5,58,2,7,16,73
20,20,10,59,2,7,14,72
20,20,15,54,2,7,15,77
20,20,20,50,2,7,15,80
20,20,25,48,2,7,14,79
20,20,30,46,2,7,10,85
20,20,35,44,2,7,9,81
20,20,40,44,2,7,9,83
20,20,45,42,2,7,9,84
20,20,50,40,2,7,4,87
20,20,55,31,2,7,3,83
20,21,0,22,2,7,0,84
20,21,5,21,2,7,0,81
20,21,10,20,2,7,0,79
20,21,15,20,2,7,0,80
20,21,20,19,2,7,0,81
20,21,25,17,2,7,0,80
20,21,30,17,2,7,0,74
20,21,35,17,2,7,0,72
20,21,40,17,2,7,0,69
20,21,45,17,2,7,0,65
20,21,50,17,2,7,0,58
20,21,55,17,2,7,0,54
20,22,0,17,2,7,0,50
21,7,0,0,0,0,0,0
21,7,5,0,0,0,0,0
21,7,10,0,0,0,0,0
21,7,15,0,0,0,0,5
21,7,20,0,0,0,0,7
21,7,25,0,0,0,0,8
21,7,30,0,0,0,0,8
21,7,35,0,0,0,0,10
21,7,40,0,0,0,0,9
21,7,45,0,0,0,0,10
21,7,50,0,0,0,0,12
21,7,55,0,0,0,0,12
21,8,0,0,0,0,0,13
21,8,5,0,0,0,0,13
21,8,10,0,0,0,0,13
21,8,15,0,0,0,0,18
21,8,20,0,0,0,0,19
21,8,25,0,0,0,0,17
21,8,30,0,0,0,0,19
21,8,35,0,0,0,0,19
21,8,40,0,0,0,0,22
21,8,45,0,0,0,0,22
21,8,50,0,0,0,0,24
21,8,55,0,0,0,0,23
21,9,0,7,0,0,0,23
21,9,5,11,0,0,0,25
21,9,10,16,0,0,1,22
21,9,15,17,0,0,1,23
21,9,20,17,0,0,1,26
21,9,25,18,0,0,3,25
